N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,50,10,10,sqrt,0.2,150
10,50,10,10,sqrt,0.3,14.4
10,50,10,10,log2,0,14.2
10,50,10,10,log2,0.1,16
10,50,10,10,log2,0.2,14.4
10,50,10,10,log2,0.3,14.4
10,50,10,20,50,0,17.8
10,50,10,20,50,0.1,17.6
10,50,10,20,50,0.2,17.4
10,50,10,20,50,0.3,18.4
10,50,10,20,sqrt,0,17.4
10,50,10,20,sqrt,0.1,17.6
10,50,10,20,sqrt,0.2,16.8
10,50,10,20,sqrt,0.3,16.4
10,50,10,20,log2,0,16.4
10,50,10,20,log2,0.1,150.4
10,50,10,20,log2,0.2,150.4
10,50,10,20,log2,0.3,150.8
10,50,20,1,50,0,11.4
10,50,20,1,50,0.1,11.6
10,50,20,1,50,0.2,11.6
10,50,20,1,50,0.3,11.2
10,50,20,1,sqrt,0,13.6
10,50,20,1,sqrt,0.1,150.8
10,50,20,1,sqrt,0.2,14.4
10,50,20,1,sqrt,0.3,14.2
10,50,20,1,log2,0,13.6
10,50,20,1,log2,0.1,14.2
10,50,20,1,log2,0.2,14
10,50,20,1,log2,0.3,14.2
10,50,20,50,50,0,12.2
10,50,20,50,50,0.1,12
10,50,20,50,50,0.2,11.8
10,50,20,50,50,0.3,11
10,50,20,50,sqrt,0,150
10,50,20,50,sqrt,0.1,150
10,50,20,50,sqrt,0.2,14.6
10,50,20,50,sqrt,0.3,13.4
10,50,20,50,log2,0,14.4
10,50,20,50,log2,0.1,13.4
10,50,20,50,log2,0.2,150.2
10,50,20,50,log2,0.3,14.6
10,50,20,10,50,0,13
10,50,20,10,50,0.1,12.6
10,50,20,10,50,0.2,12.8
10,50,20,10,50,0.3,12.8
10,50,20,10,sqrt,0,150.6
10,50,20,10,sqrt,0.1,13.6
10,50,20,10,sqrt,0.2,14.6
10,50,20,10,sqrt,0.3,13.6
10,50,20,10,log2,0,16.4
10,50,20,10,log2,0.1,14.6
10,50,20,10,log2,0.2,150
10,50,20,10,log2,0.3,16.2
10,50,20,20,50,0,17.8
10,50,20,20,50,0.1,17.8
10,50,20,20,50,0.2,18
10,50,20,20,50,0.3,17.2
10,50,20,20,sqrt,0,18
10,50,20,20,sqrt,0.1,16.8
10,50,20,20,sqrt,0.2,16.2
10,50,20,20,sqrt,0.3,17.2
10,50,20,20,log2,0,16.6
10,50,20,20,log2,0.1,17.8
10,50,20,20,log2,0.2,16.6
10,50,20,20,log2,0.3,150.8
10,50,40,1,50,0,150.8
10,50,40,1,50,0.1,150.8
10,50,40,1,50,0.2,150.8
10,50,40,1,50,0.3,150.8
10,50,40,1,sqrt,0,14
10,50,40,1,sqrt,0.1,150.8
10,50,40,1,sqrt,0.2,17
10,50,40,1,sqrt,0.3,14.8
10,50,40,1,log2,0,16.8
10,50,40,1,log2,0.1,14.8
10,50,40,1,log2,0.2,150.8
10,50,40,1,log2,0.3,16
10,50,40,50,50,0,150.6
10,50,40,50,50,0.1,150.6
10,50,40,50,50,0.2,150.6
10,50,40,50,50,0.3,16
10,50,40,50,sqrt,0,150.4
10,50,40,50,sqrt,0.1,14.8
10,50,40,50,sqrt,0.2,150.2
10,50,40,50,sqrt,0.3,150.2
10,50,40,50,log2,0,150.4
10,50,40,50,log2,0.1,17.4
10,50,40,50,log2,0.2,13.8
10,50,40,50,log2,0.3,16.4
10,50,40,10,50,0,150.8
10,50,40,10,50,0.1,150.6
10,50,40,10,50,0.2,150.4
10,50,40,10,50,0.3,150.6
10,50,40,10,sqrt,0,16
10,50,40,10,sqrt,0.1,150.2
10,50,40,10,sqrt,0.2,14.4
10,50,40,10,sqrt,0.3,16.8
10,50,40,10,log2,0,16.8
10,50,40,10,log2,0.1,16
10,50,40,10,log2,0.2,150.8
10,50,40,10,log2,0.3,17
10,50,40,20,50,0,17.4
10,50,40,20,50,0.1,17.8
10,50,40,20,50,0.2,17.2
10,50,40,20,50,0.3,18
10,50,40,20,sqrt,0,16
10,50,40,20,sqrt,0.1,16.4
10,50,40,20,sqrt,0.2,16.6
10,50,40,20,sqrt,0.3,17.2
10,50,40,20,log2,0,16.6
10,50,40,20,log2,0.1,16
10,50,40,20,log2,0.2,16
10,50,40,20,log2,0.3,150.6
10,10,2,1,50,0,3.2
10,10,2,1,50,0.1,3
10,10,2,1,50,0.2,3.2
10,10,2,1,50,0.3,3.2
10,10,2,1,sqrt,0,50.6
10,10,2,1,sqrt,0.1,6.2
10,10,2,1,sqrt,0.2,6.6
10,10,2,1,sqrt,0.3,6
10,10,2,1,log2,0,50.6
10,10,2,1,log2,0.1,6.8
10,10,2,1,log2,0.2,6
10,10,2,1,log2,0.3,6
10,10,2,50,50,0,3.2
10,10,2,50,50,0.1,3.4
10,10,2,50,50,0.2,3.2
10,10,2,50,50,0.3,3.2
10,10,2,50,sqrt,0,8.6
10,10,2,50,sqrt,0.1,9.4
10,10,2,50,sqrt,0.2,9.2
10,10,2,50,sqrt,0.3,9.8
10,10,2,50,log2,0,10.2
10,10,2,50,log2,0.1,8.4
10,10,2,50,log2,0.2,8.8
10,10,2,50,log2,0.3,8.2
10,10,2,10,50,0,7.4
10,10,2,10,50,0.1,7.4
10,10,2,10,50,0.2,7.4
10,10,2,10,50,0.3,7.2
10,10,2,10,sqrt,0,12
10,10,2,10,sqrt,0.1,11.8
10,10,2,10,sqrt,0.2,12.4
10,10,2,10,sqrt,0.3,12.2
10,10,2,10,log2,0,11.2
10,10,2,10,log2,0.1,11.8
10,10,2,10,log2,0.2,12.4
10,10,2,10,log2,0.3,13.6
10,10,2,20,50,0,16
10,10,2,20,50,0.1,14.6
10,10,2,20,50,0.2,150.2
10,10,2,20,50,0.3,150
10,10,2,20,sqrt,0,17
10,10,2,20,sqrt,0.1,17.2
10,10,2,20,sqrt,0.2,150.2
10,10,2,20,sqrt,0.3,17.6
10,10,2,20,log2,0,16.2
10,10,2,20,log2,0.1,150.8
10,10,2,20,log2,0.2,17.2
10,10,2,20,log2,0.3,150.6
10,10,6,1,50,0,3
10,10,6,1,50,0.1,3.2
10,10,6,1,50,0.2,3.2
10,10,6,1,50,0.3,3.2
10,10,6,1,sqrt,0,7.6
10,10,6,1,sqrt,0.1,7.6
10,10,6,1,sqrt,0.2,7.4
10,10,6,1,sqrt,0.3,7.2
10,10,6,1,log2,0,7.2
10,10,6,1,log2,0.1,7.4
10,10,6,1,log2,0.2,6.6
10,10,6,1,log2,0.3,7.2
10,10,6,50,50,0,3.4
10,10,6,50,50,0.1,3.4
10,10,6,50,50,0.2,3.6
10,10,6,50,50,0.3,3.4
10,10,6,50,sqrt,0,8.8
10,10,6,50,sqrt,0.1,8.4
10,10,6,50,sqrt,0.2,9.8
10,10,6,50,sqrt,0.3,10
10,10,6,50,log2,0,9
10,10,6,50,log2,0.1,9.4
10,10,6,50,log2,0.2,9
10,10,6,50,log2,0.3,9.6
10,10,6,10,50,0,7
10,10,6,10,50,0.1,7.8
10,10,6,10,50,0.2,6.8
10,10,6,10,50,0.3,6.6
10,10,6,10,sqrt,0,12
10,10,6,10,sqrt,0.1,11.8
10,10,6,10,sqrt,0.2,11.8
10,10,6,10,sqrt,0.3,12
10,10,6,10,log2,0,12.2
10,10,6,10,log2,0.1,13
10,10,6,10,log2,0.2,11.4
10,10,6,10,log2,0.3,12
10,10,6,20,50,0,150
10,10,6,20,50,0.1,150.4
10,10,6,20,50,0.2,150.2
10,10,6,20,50,0.3,13.8
10,10,6,20,sqrt,0,16
10,10,6,20,sqrt,0.1,17.2
10,10,6,20,sqrt,0.2,16.6
10,10,6,20,sqrt,0.3,17.2
10,10,6,20,log2,0,16.8
10,10,6,20,log2,0.1,150.6
10,10,6,20,log2,0.2,14.8
10,10,6,20,log2,0.3,150.6
10,10,10,1,50,0,3.4
10,10,10,1,50,0.1,3.6
10,10,10,1,50,0.2,3.2
10,10,10,1,50,0.3,3.2
10,10,10,1,sqrt,0,9.8
10,10,10,1,sqrt,0.1,9
10,10,10,1,sqrt,0.2,9.2
10,10,10,1,sqrt,0.3,9.2
10,10,10,1,log2,0,8.6
10,10,10,1,log2,0.1,8.4
10,10,10,1,log2,0.2,8
10,10,10,1,log2,0.3,8.8
10,10,10,50,50,0,3.2
10,10,10,50,50,0.1,3.2
10,10,10,50,50,0.2,3.2
10,10,10,50,50,0.3,3.2
10,10,10,50,sqrt,0,8.4
10,10,10,50,sqrt,0.1,8.4
10,10,10,50,sqrt,0.2,9.2
10,10,10,50,sqrt,0.3,9
10,10,10,50,log2,0,8.4
10,10,10,50,log2,0.1,9.8
10,10,10,50,log2,0.2,9.4
10,10,10,50,log2,0.3,9.4
10,10,10,10,50,0,7.2
10,10,10,10,50,0.1,7
10,10,10,10,50,0.2,6.8
10,10,10,10,50,0.3,7
10,10,10,10,sqrt,0,13.2
10,10,10,10,sqrt,0.1,12.6
10,10,10,10,sqrt,0.2,11.8
10,10,10,10,sqrt,0.3,13.2
10,10,10,10,log2,0,12.4
10,10,10,10,log2,0.1,11.8
10,10,10,10,log2,0.2,11.2
10,10,10,10,log2,0.3,12.8
10,10,10,20,50,0,14.4
10,10,10,20,50,0.1,14.8
10,10,10,20,50,0.2,14.8
10,10,10,20,50,0.3,150
10,10,10,20,sqrt,0,14.6
10,10,10,20,sqrt,0.1,16
10,10,10,20,sqrt,0.2,16.2
10,10,10,20,sqrt,0.3,150.6
10,10,10,20,log2,0,150.4
10,10,10,20,log2,0.1,150.4
10,10,10,20,log2,0.2,17.2
10,10,10,20,log2,0.3,150.4
10,10,20,1,50,0,50.8
10,10,20,1,50,0.1,50.8
10,10,20,1,50,0.2,50.8
10,10,20,1,50,0.3,50.8
10,10,20,1,sqrt,0,11.4
10,10,20,1,sqrt,0.1,11.2
10,10,20,1,sqrt,0.2,11.4
10,10,20,1,sqrt,0.3,11
10,10,20,1,log2,0,11
10,10,20,1,log2,0.1,12.2
10,10,20,1,log2,0.2,11
10,10,20,1,log2,0.3,10.6
10,10,20,50,50,0,50.8
10,10,20,50,50,0.1,6
10,10,20,50,50,0.2,50.8
10,10,20,50,50,0.3,50.6
10,10,20,50,sqrt,0,12
10,10,20,50,sqrt,0.1,11.4
10,10,20,50,sqrt,0.2,10.8
10,10,20,50,sqrt,0.3,10
10,10,20,50,log2,0,11.8
10,10,20,50,log2,0.1,11
10,10,20,50,log2,0.2,11.6
10,10,20,50,log2,0.3,11.6
10,10,20,10,50,0,7
10,10,20,10,50,0.1,7.4
10,10,20,10,50,0.2,7.2
10,10,20,10,50,0.3,7
10,10,20,10,sqrt,0,11
10,10,20,10,sqrt,0.1,11.8
10,10,20,10,sqrt,0.2,12.8
10,10,20,10,sqrt,0.3,11.6
10,10,20,10,log2,0,13.6
10,10,20,10,log2,0.1,12.2
10,10,20,10,log2,0.2,13.2
10,10,20,10,log2,0.3,13.4
10,10,20,20,50,0,150
10,10,20,20,50,0.1,14.6
10,10,20,20,50,0.2,150.6
10,10,20,20,50,0.3,150.2
10,10,20,20,sqrt,0,150.8
10,10,20,20,sqrt,0.1,16.4
10,10,20,20,sqrt,0.2,150
10,10,20,20,sqrt,0.3,14.8
10,10,20,20,log2,0,18.2
10,10,20,20,log2,0.1,150.8
10,10,20,20,log2,0.2,16
10,10,20,20,log2,0.3,150
10,10,40,1,50,0,13
10,10,40,1,50,0.1,12.4
10,10,40,1,50,0.2,13.6
10,10,40,1,50,0.3,12.8
10,10,40,1,sqrt,0,150.2
10,10,40,1,sqrt,0.1,13.8
10,10,40,1,sqrt,0.2,150.4
10,10,40,1,sqrt,0.3,13.8
10,10,40,1,log2,0,14
10,10,40,1,log2,0.1,14.4
10,10,40,1,log2,0.2,14.8
10,10,40,1,log2,0.3,14.2
10,10,40,50,50,0,13.4
10,10,40,50,50,0.1,13.2
10,10,40,50,50,0.2,12.8
10,10,40,50,50,0.3,13
10,10,40,50,sqrt,0,150
10,10,40,50,sqrt,0.1,14.6
10,10,40,50,sqrt,0.2,14.6
10,10,40,50,sqrt,0.3,13.8
10,10,40,50,log2,0,150.2
10,10,40,50,log2,0.1,150.4
10,10,40,50,log2,0.2,150
10,10,40,50,log2,0.3,14.6
10,10,40,10,50,0,12.6
10,10,40,10,50,0.1,12.2
10,10,40,10,50,0.2,12.8
10,10,40,10,50,0.3,12.8
10,10,40,10,sqrt,0,14.6
10,10,40,10,sqrt,0.1,16.2
10,10,40,10,sqrt,0.2,14.2
10,10,40,10,sqrt,0.3,14.4
10,10,40,10,log2,0,150.4
10,10,40,10,log2,0.1,14.6
10,10,40,10,log2,0.2,14
10,10,40,10,log2,0.3,13.4
10,10,40,20,50,0,150.2
10,10,40,20,50,0.1,14.8
10,10,40,20,50,0.2,14.8
10,10,40,20,50,0.3,14.4
10,10,40,20,sqrt,0,17.6
10,10,40,20,sqrt,0.1,16
10,10,40,20,sqrt,0.2,16.6
10,10,40,20,sqrt,0.3,150.8
10,10,40,20,log2,0,150.4
10,10,40,20,log2,0.1,16.4
10,10,40,20,log2,0.2,150.8
10,10,40,20,log2,0.3,16.6
10,20,2,1,50,0,3.2
10,20,2,1,50,0.1,3
10,20,2,1,50,0.2,3.2
10,20,2,1,50,0.3,3
10,20,2,1,sqrt,0,50.8
10,20,2,1,sqrt,0.1,50.8
10,20,2,1,sqrt,0.2,50.8
10,20,2,1,sqrt,0.3,6
10,20,2,1,log2,0,50.6
10,20,2,1,log2,0.1,50.8
10,20,2,1,log2,0.2,50.2
10,20,2,1,log2,0.3,50.4
10,20,2,50,50,0,3.4
10,20,2,50,50,0.1,3.2
10,20,2,50,50,0.2,3.6
10,20,2,50,50,0.3,3.8
10,20,2,50,sqrt,0,8.6
10,20,2,50,sqrt,0.1,8.8
10,20,2,50,sqrt,0.2,8.8
10,20,2,50,sqrt,0.3,10.2
10,20,2,50,log2,0,9
10,20,2,50,log2,0.1,9
10,20,2,50,log2,0.2,9.4
10,20,2,50,log2,0.3,9.4
10,20,2,10,50,0,7
10,20,2,10,50,0.1,7.8
10,20,2,10,50,0.2,7
10,20,2,10,50,0.3,7.2
10,20,2,10,sqrt,0,12.6
10,20,2,10,sqrt,0.1,11.6
10,20,2,10,sqrt,0.2,12.2
10,20,2,10,sqrt,0.3,12.4
10,20,2,10,log2,0,12
10,20,2,10,log2,0.1,13.4
10,20,2,10,log2,0.2,12.4
10,20,2,10,log2,0.3,12.8
10,20,2,20,50,0,150
10,20,2,20,50,0.1,150.4
10,20,2,20,50,0.2,13.8
10,20,2,20,50,0.3,14.8
10,20,2,20,sqrt,0,16.2
10,20,2,20,sqrt,0.1,16
10,20,2,20,sqrt,0.2,14.6
10,20,2,20,sqrt,0.3,16.6
10,20,2,20,log2,0,16
10,20,2,20,log2,0.1,150
10,20,2,20,log2,0.2,150.8
10,20,2,20,log2,0.3,150.4
10,20,6,1,50,0,3.2
10,20,6,1,50,0.1,3.2
10,20,6,1,50,0.2,3.2
10,20,6,1,50,0.3,3.2
10,20,6,1,sqrt,0,6.2
10,20,6,1,sqrt,0.1,7.6
10,20,6,1,sqrt,0.2,7.6
10,20,6,1,sqrt,0.3,7.2
10,20,6,1,log2,0,7.8
10,20,6,1,log2,0.1,7
10,20,6,1,log2,0.2,6.8
10,20,6,1,log2,0.3,8
10,20,6,50,50,0,3.4
10,20,6,50,50,0.1,3.4
10,20,6,50,50,0.2,3.2
10,20,6,50,50,0.3,3.2
10,20,6,50,sqrt,0,9.4
10,20,6,50,sqrt,0.1,9.6
10,20,6,50,sqrt,0.2,8.8
10,20,6,50,sqrt,0.3,9.4
10,20,6,50,log2,0,8.4
10,20,6,50,log2,0.1,9
10,20,6,50,log2,0.2,8.6
10,20,6,50,log2,0.3,8.4
10,20,6,10,50,0,7.2
10,20,6,10,50,0.1,7.2
10,20,6,10,50,0.2,7.6
10,20,6,10,50,0.3,7.2
10,20,6,10,sqrt,0,11.6
10,20,6,10,sqrt,0.1,11.4
10,20,6,10,sqrt,0.2,12
10,20,6,10,sqrt,0.3,12.2
10,20,6,10,log2,0,12.4
10,20,6,10,log2,0.1,12
10,20,6,10,log2,0.2,12.6
10,20,6,10,log2,0.3,12.2
10,20,6,20,50,0,150.4
10,20,6,20,50,0.1,14.6
10,20,6,20,50,0.2,13.6
10,20,6,20,50,0.3,150
10,20,6,20,sqrt,0,16.2
10,20,6,20,sqrt,0.1,16.4
10,20,6,20,sqrt,0.2,16.6
10,20,6,20,sqrt,0.3,16.2
10,20,6,20,log2,0,16.2
10,20,6,20,log2,0.1,16
10,20,6,20,log2,0.2,16.2
10,20,6,20,log2,0.3,150.6
10,20,10,1,50,0,3.2
10,20,10,1,50,0.1,3.2
10,20,10,1,50,0.2,3.2
10,20,10,1,50,0.3,3.2
10,20,10,1,sqrt,0,8.6
10,20,10,1,sqrt,0.1,10
10,20,10,1,sqrt,0.2,9
10,20,10,1,sqrt,0.3,8.6
10,20,10,1,log2,0,9
10,20,10,1,log2,0.1,8.6
10,20,10,1,log2,0.2,7.8
10,20,10,1,log2,0.3,8.4
10,20,10,50,50,0,3.4
10,20,10,50,50,0.1,3.2
10,20,10,50,50,0.2,3.2
10,20,10,50,50,0.3,3.4
10,20,10,50,sqrt,0,8.4
10,20,10,50,sqrt,0.1,9.2
10,20,10,50,sqrt,0.2,8.8
10,20,10,50,sqrt,0.3,8.8
10,20,10,50,log2,0,7.8
10,20,10,50,log2,0.1,9.2
10,20,10,50,log2,0.2,8.8
10,20,10,50,log2,0.3,8.8
10,20,10,10,50,0,6.8
10,20,10,10,50,0.1,6.8
10,20,10,10,50,0.2,6.8
10,20,10,10,50,0.3,7.4
10,20,10,10,sqrt,0,12.6
10,20,10,10,sqrt,0.1,12
10,20,10,10,sqrt,0.2,11.4
10,20,10,10,sqrt,0.3,12.8
10,20,10,10,log2,0,12.2
10,20,10,10,log2,0.1,12.4
10,20,10,10,log2,0.2,12
10,20,10,10,log2,0.3,12.8
10,20,10,20,50,0,150.4
10,20,10,20,50,0.1,150.6
10,20,10,20,50,0.2,150
10,20,10,20,50,0.3,14.2
10,20,10,20,sqrt,0,17.2
10,20,10,20,sqrt,0.1,150.6
10,20,10,20,sqrt,0.2,150.8
10,20,10,20,sqrt,0.3,16.8
10,20,10,20,log2,0,150.4
10,20,10,20,log2,0.1,150.2
10,20,10,20,log2,0.2,16.2
10,20,10,20,log2,0.3,16.4
10,20,20,1,50,0,50.8
10,20,20,1,50,0.1,50.8
10,20,20,1,50,0.2,50.8
10,20,20,1,50,0.3,50.6
10,20,20,1,sqrt,0,10.6
10,20,20,1,sqrt,0.1,10.4
10,20,20,1,sqrt,0.2,12
10,20,20,1,sqrt,0.3,10.8
10,20,20,1,log2,0,9.6
10,20,20,1,log2,0.1,11.2
10,20,20,1,log2,0.2,11.4
10,20,20,1,log2,0.3,11.4
10,20,20,50,50,0,50.8
10,20,20,50,50,0.1,50.8
10,20,20,50,50,0.2,50.8
10,20,20,50,50,0.3,50.8
10,20,20,50,sqrt,0,11.2
10,20,20,50,sqrt,0.1,11.2
10,20,20,50,sqrt,0.2,9.8
10,20,20,50,sqrt,0.3,12.2
10,20,20,50,log2,0,11.6
10,20,20,50,log2,0.1,11.6
10,20,20,50,log2,0.2,10.8
10,20,20,50,log2,0.3,10
10,20,20,10,50,0,7.6
10,20,20,10,50,0.1,7.6
10,20,20,10,50,0.2,7.4
10,20,20,10,50,0.3,7.2
10,20,20,10,sqrt,0,13
10,20,20,10,sqrt,0.1,12.6
10,20,20,10,sqrt,0.2,12.2
10,20,20,10,sqrt,0.3,11.8
10,20,20,10,log2,0,12
10,20,20,10,log2,0.1,12
10,20,20,10,log2,0.2,11.2
10,20,20,10,log2,0.3,12.6
10,20,20,20,50,0,150.2
10,20,20,20,50,0.1,16
10,20,20,20,50,0.2,150.2
10,20,20,20,50,0.3,150.2
10,20,20,20,sqrt,0,14
10,20,20,20,sqrt,0.1,17.2
10,20,20,20,sqrt,0.2,17.2
10,20,20,20,sqrt,0.3,16
10,20,20,20,log2,0,16.8
10,20,20,20,log2,0.1,150.6
10,20,20,20,log2,0.2,16.8
10,20,20,20,log2,0.3,14.6
10,20,40,1,50,0,13.4
10,20,40,1,50,0.1,12.8
10,20,40,1,50,0.2,13.2
10,20,40,1,50,0.3,12.8
10,20,40,1,sqrt,0,13.8
10,20,40,1,sqrt,0.1,14.4
10,20,40,1,sqrt,0.2,14.6
10,20,40,1,sqrt,0.3,150
10,20,40,1,log2,0,14.8
10,20,40,1,log2,0.1,14
10,20,40,1,log2,0.2,150.2
10,20,40,1,log2,0.3,14
10,20,40,50,50,0,12.8
10,20,40,50,50,0.1,13.4
10,20,40,50,50,0.2,12.4
10,20,40,50,50,0.3,12.8
10,20,40,50,sqrt,0,14.4
10,20,40,50,sqrt,0.1,14.4
10,20,40,50,sqrt,0.2,13.6
10,20,40,50,sqrt,0.3,14
10,20,40,50,log2,0,14.8
10,20,40,50,log2,0.1,13.2
10,20,40,50,log2,0.2,13
10,20,40,50,log2,0.3,14.4
10,20,40,10,50,0,13
10,20,40,10,50,0.1,12.4
10,20,40,10,50,0.2,12.8
10,20,40,10,50,0.3,12
10,20,40,10,sqrt,0,150.4
10,20,40,10,sqrt,0.1,16
10,20,40,10,sqrt,0.2,13.6
10,20,40,10,sqrt,0.3,16.2
10,20,40,10,log2,0,14.6
10,20,40,10,log2,0.1,14.8
10,20,40,10,log2,0.2,14.6
10,20,40,10,log2,0.3,14.8
10,20,40,20,50,0,150.2
10,20,40,20,50,0.1,14.4
10,20,40,20,50,0.2,150.4
10,20,40,20,50,0.3,150.4
10,20,40,20,sqrt,0,150.4
10,20,40,20,sqrt,0.1,16.4
10,20,40,20,sqrt,0.2,150.2
10,20,40,20,sqrt,0.3,150.8
10,20,40,20,log2,0,13.8
10,20,40,20,log2,0.1,14.6
10,20,40,20,log2,0.2,16.6
10,20,40,20,log2,0.3,16.8
10,30,2,1,50,0,3.2
10,30,2,1,50,0.1,3.2
10,30,2,1,50,0.2,3
10,30,2,1,50,0.3,3
10,30,2,1,sqrt,0,50.6
10,30,2,1,sqrt,0.1,50.8
10,30,2,1,sqrt,0.2,6
10,30,2,1,sqrt,0.3,50.4
10,30,2,1,log2,0,6
10,30,2,1,log2,0.1,50.4
10,30,2,1,log2,0.2,6
10,30,2,1,log2,0.3,50.8
10,30,2,50,50,0,3.2
10,30,2,50,50,0.1,3.6
10,30,2,50,50,0.2,3.4
10,30,2,50,50,0.3,3.4
10,30,2,50,sqrt,0,9.4
10,30,2,50,sqrt,0.1,9.6
10,30,2,50,sqrt,0.2,8.4
10,30,2,50,sqrt,0.3,9.6
10,30,2,50,log2,0,9.4
10,30,2,50,log2,0.1,9.6
10,30,2,50,log2,0.2,8.6
10,30,2,50,log2,0.3,8
10,30,2,10,50,0,7.2
10,30,2,10,50,0.1,6.8
10,30,2,10,50,0.2,6.6
10,30,2,10,50,0.3,6.8
10,30,2,10,sqrt,0,12.6
10,30,2,10,sqrt,0.1,12.2
10,30,2,10,sqrt,0.2,12.8
10,30,2,10,sqrt,0.3,13
10,30,2,10,log2,0,12
10,30,2,10,log2,0.1,11.6
