n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,min_impurity_decrease,error
10,squared_error,20.0,2,1,log2,0.1,0.058
10,squared_error,20.0,2,1,log2,0.2,0.052
10,squared_error,20.0,2,1,log2,0.3,0.054
10,squared_error,20.0,2,5,NoneValue,0.0,0.034
10,squared_error,20.0,2,5,NoneValue,0.1,0.032
10,squared_error,20.0,2,5,NoneValue,0.2,0.036
10,squared_error,20.0,2,5,NoneValue,0.3,0.038
10,squared_error,20.0,2,5,sqrt,0.0,0.086
10,squared_error,20.0,2,5,sqrt,0.1,0.088
10,squared_error,20.0,2,5,sqrt,0.2,0.088
10,squared_error,20.0,2,5,sqrt,0.3,0.102
10,squared_error,20.0,2,5,log2,0.0,0.09
10,squared_error,20.0,2,5,log2,0.1,0.09
10,squared_error,20.0,2,5,log2,0.2,0.094
10,squared_error,20.0,2,5,log2,0.3,0.094
10,squared_error,20.0,2,10,NoneValue,0.0,0.07
10,squared_error,20.0,2,10,NoneValue,0.1,0.078
10,squared_error,20.0,2,10,NoneValue,0.2,0.07
10,squared_error,20.0,2,10,NoneValue,0.3,0.072
10,squared_error,20.0,2,10,sqrt,0.0,0.126
10,squared_error,20.0,2,10,sqrt,0.1,0.1159999999999999
10,squared_error,20.0,2,10,sqrt,0.2,0.122
10,squared_error,20.0,2,10,sqrt,0.3,0.124
10,squared_error,20.0,2,10,log2,0.0,0.12
10,squared_error,20.0,2,10,log2,0.1,0.134
10,squared_error,20.0,2,10,log2,0.2,0.124
10,squared_error,20.0,2,10,log2,0.3,0.128
10,squared_error,20.0,2,20,NoneValue,0.0,0.15
10,squared_error,20.0,2,20,NoneValue,0.1,0.154
10,squared_error,20.0,2,20,NoneValue,0.2,0.138
10,squared_error,20.0,2,20,NoneValue,0.3,0.148
10,squared_error,20.0,2,20,sqrt,0.0,0.162
10,squared_error,20.0,2,20,sqrt,0.1,0.16
10,squared_error,20.0,2,20,sqrt,0.2,0.146
10,squared_error,20.0,2,20,sqrt,0.3,0.166
10,squared_error,20.0,2,20,log2,0.0,0.16
10,squared_error,20.0,2,20,log2,0.1,0.15
10,squared_error,20.0,2,20,log2,0.2,0.158
10,squared_error,20.0,2,20,log2,0.3,0.154
10,squared_error,20.0,6,1,NoneValue,0.0,0.032
10,squared_error,20.0,6,1,NoneValue,0.1,0.032
10,squared_error,20.0,6,1,NoneValue,0.2,0.032
10,squared_error,20.0,6,1,NoneValue,0.3,0.032
10,squared_error,20.0,6,1,sqrt,0.0,0.062
10,squared_error,20.0,6,1,sqrt,0.1,0.076
10,squared_error,20.0,6,1,sqrt,0.2,0.076
10,squared_error,20.0,6,1,sqrt,0.3,0.072
10,squared_error,20.0,6,1,log2,0.0,0.078
10,squared_error,20.0,6,1,log2,0.1,0.07
10,squared_error,20.0,6,1,log2,0.2,0.068
10,squared_error,20.0,6,1,log2,0.3,0.08
10,squared_error,20.0,6,5,NoneValue,0.0,0.034
10,squared_error,20.0,6,5,NoneValue,0.1,0.034
10,squared_error,20.0,6,5,NoneValue,0.2,0.032
10,squared_error,20.0,6,5,NoneValue,0.3,0.032
10,squared_error,20.0,6,5,sqrt,0.0,0.094
10,squared_error,20.0,6,5,sqrt,0.1,0.096
10,squared_error,20.0,6,5,sqrt,0.2,0.088
10,squared_error,20.0,6,5,sqrt,0.3,0.094
10,squared_error,20.0,6,5,log2,0.0,0.084
10,squared_error,20.0,6,5,log2,0.1,0.09
10,squared_error,20.0,6,5,log2,0.2,0.086
10,squared_error,20.0,6,5,log2,0.3,0.084
10,squared_error,20.0,6,10,NoneValue,0.0,0.072
10,squared_error,20.0,6,10,NoneValue,0.1,0.072
10,squared_error,20.0,6,10,NoneValue,0.2,0.076
10,squared_error,20.0,6,10,NoneValue,0.3,0.072
10,squared_error,20.0,6,10,sqrt,0.0,0.1159999999999999
10,squared_error,20.0,6,10,sqrt,0.1,0.114
10,squared_error,20.0,6,10,sqrt,0.2,0.12
10,squared_error,20.0,6,10,sqrt,0.3,0.122
10,squared_error,20.0,6,10,log2,0.0,0.124
10,squared_error,20.0,6,10,log2,0.1,0.12
10,squared_error,20.0,6,10,log2,0.2,0.126
10,squared_error,20.0,6,10,log2,0.3,0.122
10,squared_error,20.0,6,20,NoneValue,0.0,0.154
10,squared_error,20.0,6,20,NoneValue,0.1,0.146
10,squared_error,20.0,6,20,NoneValue,0.2,0.136
10,squared_error,20.0,6,20,NoneValue,0.3,0.15
10,squared_error,20.0,6,20,sqrt,0.0,0.162
10,squared_error,20.0,6,20,sqrt,0.1,0.164
10,squared_error,20.0,6,20,sqrt,0.2,0.1659999999999999
10,squared_error,20.0,6,20,sqrt,0.3,0.162
10,squared_error,20.0,6,20,log2,0.0,0.162
10,squared_error,20.0,6,20,log2,0.1,0.16
10,squared_error,20.0,6,20,log2,0.2,0.162
10,squared_error,20.0,6,20,log2,0.3,0.156
10,squared_error,20.0,10,1,NoneValue,0.0,0.032
10,squared_error,20.0,10,1,NoneValue,0.1,0.032
10,squared_error,20.0,10,1,NoneValue,0.2,0.032
10,squared_error,20.0,10,1,NoneValue,0.3,0.032
10,squared_error,20.0,10,1,sqrt,0.0,0.086
10,squared_error,20.0,10,1,sqrt,0.1,0.1
10,squared_error,20.0,10,1,sqrt,0.2,0.09
10,squared_error,20.0,10,1,sqrt,0.3,0.086
10,squared_error,20.0,10,1,log2,0.0,0.09
10,squared_error,20.0,10,1,log2,0.1,0.086
10,squared_error,20.0,10,1,log2,0.2,0.078
10,squared_error,20.0,10,1,log2,0.3,0.084
10,squared_error,20.0,10,5,NoneValue,0.0,0.034
10,squared_error,20.0,10,5,NoneValue,0.1,0.032
10,squared_error,20.0,10,5,NoneValue,0.2,0.032
10,squared_error,20.0,10,5,NoneValue,0.3,0.034
10,squared_error,20.0,10,5,sqrt,0.0,0.084
10,squared_error,20.0,10,5,sqrt,0.1,0.092
10,squared_error,20.0,10,5,sqrt,0.2,0.088
10,squared_error,20.0,10,5,sqrt,0.3,0.088
10,squared_error,20.0,10,5,log2,0.0,0.078
10,squared_error,20.0,10,5,log2,0.1,0.092
10,squared_error,20.0,10,5,log2,0.2,0.088
10,squared_error,20.0,10,5,log2,0.3,0.088
10,squared_error,20.0,10,10,NoneValue,0.0,0.068
10,squared_error,20.0,10,10,NoneValue,0.1,0.068
10,squared_error,20.0,10,10,NoneValue,0.2,0.068
10,squared_error,20.0,10,10,NoneValue,0.3,0.074
10,squared_error,20.0,10,10,sqrt,0.0,0.126
10,squared_error,20.0,10,10,sqrt,0.1,0.12
10,squared_error,20.0,10,10,sqrt,0.2,0.1139999999999999
10,squared_error,20.0,10,10,sqrt,0.3,0.128
10,squared_error,20.0,10,10,log2,0.0,0.122
10,squared_error,20.0,10,10,log2,0.1,0.124
10,squared_error,20.0,10,10,log2,0.2,0.12
10,squared_error,20.0,10,10,log2,0.3,0.128
10,squared_error,20.0,10,20,NoneValue,0.0,0.154
10,squared_error,20.0,10,20,NoneValue,0.1,0.156
10,squared_error,20.0,10,20,NoneValue,0.2,0.15
10,squared_error,20.0,10,20,NoneValue,0.3,0.142
10,squared_error,20.0,10,20,sqrt,0.0,0.172
10,squared_error,20.0,10,20,sqrt,0.1,0.156
10,squared_error,20.0,10,20,sqrt,0.2,0.158
10,squared_error,20.0,10,20,sqrt,0.3,0.168
10,squared_error,20.0,10,20,log2,0.0,0.154
10,squared_error,20.0,10,20,log2,0.1,0.152
10,squared_error,20.0,10,20,log2,0.2,0.162
10,squared_error,20.0,10,20,log2,0.3,0.164
10,squared_error,20.0,20,1,NoneValue,0.0,0.0579999999999999
10,squared_error,20.0,20,1,NoneValue,0.1,0.0579999999999999
10,squared_error,20.0,20,1,NoneValue,0.2,0.0579999999999999
10,squared_error,20.0,20,1,NoneValue,0.3,0.056
10,squared_error,20.0,20,1,sqrt,0.0,0.106
10,squared_error,20.0,20,1,sqrt,0.1,0.104
10,squared_error,20.0,20,1,sqrt,0.2,0.12
10,squared_error,20.0,20,1,sqrt,0.3,0.108
10,squared_error,20.0,20,1,log2,0.0,0.096
10,squared_error,20.0,20,1,log2,0.1,0.1119999999999999
10,squared_error,20.0,20,1,log2,0.2,0.1139999999999999
10,squared_error,20.0,20,1,log2,0.3,0.114
10,squared_error,20.0,20,5,NoneValue,0.0,0.058
10,squared_error,20.0,20,5,NoneValue,0.1,0.0579999999999999
10,squared_error,20.0,20,5,NoneValue,0.2,0.058
10,squared_error,20.0,20,5,NoneValue,0.3,0.0579999999999999
10,squared_error,20.0,20,5,sqrt,0.0,0.112
10,squared_error,20.0,20,5,sqrt,0.1,0.112
10,squared_error,20.0,20,5,sqrt,0.2,0.098
10,squared_error,20.0,20,5,sqrt,0.3,0.122
10,squared_error,20.0,20,5,log2,0.0,0.116
10,squared_error,20.0,20,5,log2,0.1,0.116
10,squared_error,20.0,20,5,log2,0.2,0.108
10,squared_error,20.0,20,5,log2,0.3,0.1
10,squared_error,20.0,20,10,NoneValue,0.0,0.076
10,squared_error,20.0,20,10,NoneValue,0.1,0.076
10,squared_error,20.0,20,10,NoneValue,0.2,0.074
10,squared_error,20.0,20,10,NoneValue,0.3,0.072
10,squared_error,20.0,20,10,sqrt,0.0,0.13
10,squared_error,20.0,20,10,sqrt,0.1,0.126
10,squared_error,20.0,20,10,sqrt,0.2,0.122
10,squared_error,20.0,20,10,sqrt,0.3,0.118
10,squared_error,20.0,20,10,log2,0.0,0.12
10,squared_error,20.0,20,10,log2,0.1,0.12
10,squared_error,20.0,20,10,log2,0.2,0.112
10,squared_error,20.0,20,10,log2,0.3,0.126
10,squared_error,20.0,20,20,NoneValue,0.0,0.152
10,squared_error,20.0,20,20,NoneValue,0.1,0.16
10,squared_error,20.0,20,20,NoneValue,0.2,0.152
10,squared_error,20.0,20,20,NoneValue,0.3,0.152
10,squared_error,20.0,20,20,sqrt,0.0,0.14
10,squared_error,20.0,20,20,sqrt,0.1,0.172
10,squared_error,20.0,20,20,sqrt,0.2,0.172
10,squared_error,20.0,20,20,sqrt,0.3,0.16
10,squared_error,20.0,20,20,log2,0.0,0.1679999999999999
10,squared_error,20.0,20,20,log2,0.1,0.156
10,squared_error,20.0,20,20,log2,0.2,0.1679999999999999
10,squared_error,20.0,20,20,log2,0.3,0.146
10,squared_error,20.0,40,1,NoneValue,0.0,0.134
10,squared_error,20.0,40,1,NoneValue,0.1,0.128
10,squared_error,20.0,40,1,NoneValue,0.2,0.132
10,squared_error,20.0,40,1,NoneValue,0.3,0.128
10,squared_error,20.0,40,1,sqrt,0.0,0.138
10,squared_error,20.0,40,1,sqrt,0.1,0.144
10,squared_error,20.0,40,1,sqrt,0.2,0.146
10,squared_error,20.0,40,1,sqrt,0.3,0.15
10,squared_error,20.0,40,1,log2,0.0,0.148
10,squared_error,20.0,40,1,log2,0.1,0.14
10,squared_error,20.0,40,1,log2,0.2,0.152
10,squared_error,20.0,40,1,log2,0.3,0.14
10,squared_error,20.0,40,5,NoneValue,0.0,0.128
10,squared_error,20.0,40,5,NoneValue,0.1,0.134
10,squared_error,20.0,40,5,NoneValue,0.2,0.124
10,squared_error,20.0,40,5,NoneValue,0.3,0.128
10,squared_error,20.0,40,5,sqrt,0.0,0.144
10,squared_error,20.0,40,5,sqrt,0.1,0.144
10,squared_error,20.0,40,5,sqrt,0.2,0.136
10,squared_error,20.0,40,5,sqrt,0.3,0.14
10,squared_error,20.0,40,5,log2,0.0,0.148
10,squared_error,20.0,40,5,log2,0.1,0.132
10,squared_error,20.0,40,5,log2,0.2,0.13
10,squared_error,20.0,40,5,log2,0.3,0.144
10,squared_error,20.0,40,10,NoneValue,0.0,0.13
10,squared_error,20.0,40,10,NoneValue,0.1,0.124
10,squared_error,20.0,40,10,NoneValue,0.2,0.128
10,squared_error,20.0,40,10,NoneValue,0.3,0.12
10,squared_error,20.0,40,10,sqrt,0.0,0.154
10,squared_error,20.0,40,10,sqrt,0.1,0.16
10,squared_error,20.0,40,10,sqrt,0.2,0.136
10,squared_error,20.0,40,10,sqrt,0.3,0.162
10,squared_error,20.0,40,10,log2,0.0,0.146
10,squared_error,20.0,40,10,log2,0.1,0.148
10,squared_error,20.0,40,10,log2,0.2,0.146
10,squared_error,20.0,40,10,log2,0.3,0.148
10,squared_error,20.0,40,20,NoneValue,0.0,0.152
10,squared_error,20.0,40,20,NoneValue,0.1,0.144
10,squared_error,20.0,40,20,NoneValue,0.2,0.154
10,squared_error,20.0,40,20,NoneValue,0.3,0.154
10,squared_error,20.0,40,20,sqrt,0.0,0.154
10,squared_error,20.0,40,20,sqrt,0.1,0.164
10,squared_error,20.0,40,20,sqrt,0.2,0.152
10,squared_error,20.0,40,20,sqrt,0.3,0.158
10,squared_error,20.0,40,20,log2,0.0,0.138
10,squared_error,20.0,40,20,log2,0.1,0.146
10,squared_error,20.0,40,20,log2,0.2,0.166
10,squared_error,20.0,40,20,log2,0.3,0.168
10,squared_error,30.0,2,1,NoneValue,0.0,0.032
10,squared_error,30.0,2,1,NoneValue,0.1,0.032
10,squared_error,30.0,2,1,NoneValue,0.2,0.03
10,squared_error,30.0,2,1,NoneValue,0.3,0.03
10,squared_error,30.0,2,1,sqrt,0.0,0.056
10,squared_error,30.0,2,1,sqrt,0.1,0.058
10,squared_error,30.0,2,1,sqrt,0.2,0.06
10,squared_error,30.0,2,1,sqrt,0.3,0.054
10,squared_error,30.0,2,1,log2,0.0,0.06
10,squared_error,30.0,2,1,log2,0.1,0.054
10,squared_error,30.0,2,1,log2,0.2,0.06
10,squared_error,30.0,2,1,log2,0.3,0.058
10,squared_error,30.0,2,5,NoneValue,0.0,0.032
10,squared_error,30.0,2,5,NoneValue,0.1,0.036
10,squared_error,30.0,2,5,NoneValue,0.2,0.034
10,squared_error,30.0,2,5,NoneValue,0.3,0.0339999999999999
10,squared_error,30.0,2,5,sqrt,0.0,0.094
10,squared_error,30.0,2,5,sqrt,0.1,0.096
10,squared_error,30.0,2,5,sqrt,0.2,0.0839999999999999
10,squared_error,30.0,2,5,sqrt,0.3,0.096
10,squared_error,30.0,2,5,log2,0.0,0.094
10,squared_error,30.0,2,5,log2,0.1,0.096
10,squared_error,30.0,2,5,log2,0.2,0.086
10,squared_error,30.0,2,5,log2,0.3,0.08
10,squared_error,30.0,2,10,NoneValue,0.0,0.072
10,squared_error,30.0,2,10,NoneValue,0.1,0.068
10,squared_error,30.0,2,10,NoneValue,0.2,0.066
10,squared_error,30.0,2,10,NoneValue,0.3,0.068
10,squared_error,30.0,2,10,sqrt,0.0,0.126
10,squared_error,30.0,2,10,sqrt,0.1,0.122
10,squared_error,30.0,2,10,sqrt,0.2,0.128
10,squared_error,30.0,2,10,sqrt,0.3,0.13
10,squared_error,30.0,2,10,log2,0.0,0.12
10,squared_error,30.0,2,10,log2,0.1,0.1159999999999999
10,squared_error,30.0,2,10,log2,0.2,0.116
10,squared_error,30.0,2,10,log2,0.3,0.124
10,squared_error,30.0,2,20,NoneValue,0.0,0.152
10,squared_error,30.0,2,20,NoneValue,0.1,0.148
10,squared_error,30.0,2,20,NoneValue,0.2,0.144
10,squared_error,30.0,2,20,NoneValue,0.3,0.146
10,squared_error,30.0,2,20,sqrt,0.0,0.172
10,squared_error,30.0,2,20,sqrt,0.1,0.16
10,squared_error,30.0,2,20,sqrt,0.2,0.158
10,squared_error,30.0,2,20,sqrt,0.3,0.146
10,squared_error,30.0,2,20,log2,0.0,0.156
10,squared_error,30.0,2,20,log2,0.1,0.166
10,squared_error,30.0,2,20,log2,0.2,0.158
10,squared_error,30.0,2,20,log2,0.3,0.154
10,squared_error,30.0,6,1,NoneValue,0.0,0.03
10,squared_error,30.0,6,1,NoneValue,0.1,0.032
10,squared_error,30.0,6,1,NoneValue,0.2,0.032
10,squared_error,30.0,6,1,NoneValue,0.3,0.032
10,squared_error,30.0,6,1,sqrt,0.0,0.072
10,squared_error,30.0,6,1,sqrt,0.1,0.076
10,squared_error,30.0,6,1,sqrt,0.2,0.072
10,squared_error,30.0,6,1,sqrt,0.3,0.0799999999999999
10,squared_error,30.0,6,1,log2,0.0,0.078
10,squared_error,30.0,6,1,log2,0.1,0.07
10,squared_error,30.0,6,1,log2,0.2,0.07
10,squared_error,30.0,6,1,log2,0.3,0.066
10,squared_error,30.0,6,5,NoneValue,0.0,0.0339999999999999
10,squared_error,30.0,6,5,NoneValue,0.1,0.032
10,squared_error,30.0,6,5,NoneValue,0.2,0.032
10,squared_error,30.0,6,5,NoneValue,0.3,0.034
10,squared_error,30.0,6,5,sqrt,0.0,0.09
10,squared_error,30.0,6,5,sqrt,0.1,0.094
10,squared_error,30.0,6,5,sqrt,0.2,0.088
10,squared_error,30.0,6,5,sqrt,0.3,0.096
10,squared_error,30.0,6,5,log2,0.0,0.09
10,squared_error,30.0,6,5,log2,0.1,0.086
10,squared_error,30.0,6,5,log2,0.2,0.096
10,squared_error,30.0,6,5,log2,0.3,0.092
10,squared_error,30.0,6,10,NoneValue,0.0,0.072
10,squared_error,30.0,6,10,NoneValue,0.1,0.072
10,squared_error,30.0,6,10,NoneValue,0.2,0.068
10,squared_error,30.0,6,10,NoneValue,0.3,0.072
10,squared_error,30.0,6,10,sqrt,0.0,0.104
10,squared_error,30.0,6,10,sqrt,0.1,0.118
10,squared_error,30.0,6,10,sqrt,0.2,0.118
10,squared_error,30.0,6,10,sqrt,0.3,0.13
10,squared_error,30.0,6,10,log2,0.0,0.126
10,squared_error,30.0,6,10,log2,0.1,0.124
10,squared_error,30.0,6,10,log2,0.2,0.128
10,squared_error,30.0,6,10,log2,0.3,0.128
10,squared_error,30.0,6,20,NoneValue,0.0,0.156
10,squared_error,30.0,6,20,NoneValue,0.1,0.15
10,squared_error,30.0,6,20,NoneValue,0.2,0.144
10,squared_error,30.0,6,20,NoneValue,0.3,0.15
10,squared_error,30.0,6,20,sqrt,0.0,0.156
10,squared_error,30.0,6,20,sqrt,0.1,0.1659999999999999
10,squared_error,30.0,6,20,sqrt,0.2,0.152
10,squared_error,30.0,6,20,sqrt,0.3,0.154
10,squared_error,30.0,6,20,log2,0.0,0.16
10,squared_error,30.0,6,20,log2,0.1,0.154
10,squared_error,30.0,6,20,log2,0.2,0.184
10,squared_error,30.0,6,20,log2,0.3,0.164
10,squared_error,30.0,10,1,NoneValue,0.0,0.032
10,squared_error,30.0,10,1,NoneValue,0.1,0.032
10,squared_error,30.0,10,1,NoneValue,0.2,0.032
10,squared_error,30.0,10,1,NoneValue,0.3,0.032
10,squared_error,30.0,10,1,sqrt,0.0,0.08
10,squared_error,30.0,10,1,sqrt,0.1,0.078
10,squared_error,30.0,10,1,sqrt,0.2,0.092
10,squared_error,30.0,10,1,sqrt,0.3,0.074
10,squared_error,30.0,10,1,log2,0.0,0.08
10,squared_error,30.0,10,1,log2,0.1,0.074
10,squared_error,30.0,10,1,log2,0.2,0.0799999999999999
10,squared_error,30.0,10,1,log2,0.3,0.098
10,squared_error,30.0,10,5,NoneValue,0.0,0.038
10,squared_error,30.0,10,5,NoneValue,0.1,0.036
10,squared_error,30.0,10,5,NoneValue,0.2,0.032
10,squared_error,30.0,10,5,NoneValue,0.3,0.032
10,squared_error,30.0,10,5,sqrt,0.0,0.088
10,squared_error,30.0,10,5,sqrt,0.1,0.098
10,squared_error,30.0,10,5,sqrt,0.2,0.092
10,squared_error,30.0,10,5,sqrt,0.3,0.09
10,squared_error,30.0,10,5,log2,0.0,0.094
10,squared_error,30.0,10,5,log2,0.1,0.092
10,squared_error,30.0,10,5,log2,0.2,0.086
10,squared_error,30.0,10,5,log2,0.3,0.094
10,squared_error,30.0,10,10,NoneValue,0.0,0.072
10,squared_error,30.0,10,10,NoneValue,0.1,0.068
10,squared_error,30.0,10,10,NoneValue,0.2,0.068
10,squared_error,30.0,10,10,NoneValue,0.3,0.07
10,squared_error,30.0,10,10,sqrt,0.0,0.132
10,squared_error,30.0,10,10,sqrt,0.1,0.126
10,squared_error,30.0,10,10,sqrt,0.2,0.118
10,squared_error,30.0,10,10,sqrt,0.3,0.128
10,squared_error,30.0,10,10,log2,0.0,0.122
10,squared_error,30.0,10,10,log2,0.1,0.122
10,squared_error,30.0,10,10,log2,0.2,0.122
10,squared_error,30.0,10,10,log2,0.3,0.124
10,squared_error,30.0,10,20,NoneValue,0.0,0.152
10,squared_error,30.0,10,20,NoneValue,0.1,0.142
10,squared_error,30.0,10,20,NoneValue,0.2,0.148
10,squared_error,30.0,10,20,NoneValue,0.3,0.144
10,squared_error,30.0,10,20,sqrt,0.0,0.154
10,squared_error,30.0,10,20,sqrt,0.1,0.162
10,squared_error,30.0,10,20,sqrt,0.2,0.158
10,squared_error,30.0,10,20,sqrt,0.3,0.15
10,squared_error,30.0,10,20,log2,0.0,0.166
10,squared_error,30.0,10,20,log2,0.1,0.18
10,squared_error,30.0,10,20,log2,0.2,0.14
10,squared_error,30.0,10,20,log2,0.3,0.158
10,squared_error,30.0,20,1,NoneValue,0.0,0.0579999999999999
10,squared_error,30.0,20,1,NoneValue,0.1,0.0579999999999999
10,squared_error,30.0,20,1,NoneValue,0.2,0.0579999999999999
10,squared_error,30.0,20,1,NoneValue,0.3,0.06
10,squared_error,30.0,20,1,sqrt,0.0,0.1159999999999999
10,squared_error,30.0,20,1,sqrt,0.1,0.106
10,squared_error,30.0,20,1,sqrt,0.2,0.112
10,squared_error,30.0,20,1,sqrt,0.3,0.114
10,squared_error,30.0,20,1,log2,0.0,0.126
10,squared_error,30.0,20,1,log2,0.1,0.1139999999999999
10,squared_error,30.0,20,1,log2,0.2,0.11
10,squared_error,30.0,20,1,log2,0.3,0.1159999999999999
10,squared_error,30.0,20,5,NoneValue,0.0,0.0579999999999999
10,squared_error,30.0,20,5,NoneValue,0.1,0.056
10,squared_error,30.0,20,5,NoneValue,0.2,0.056
10,squared_error,30.0,20,5,NoneValue,0.3,0.0579999999999999
10,squared_error,30.0,20,5,sqrt,0.0,0.1119999999999999
10,squared_error,30.0,20,5,sqrt,0.1,0.112
10,squared_error,30.0,20,5,sqrt,0.2,0.108
10,squared_error,30.0,20,5,sqrt,0.3,0.108
10,squared_error,30.0,20,5,log2,0.0,0.108
10,squared_error,30.0,20,5,log2,0.1,0.1159999999999999
10,squared_error,30.0,20,5,log2,0.2,0.104
10,squared_error,30.0,20,5,log2,0.3,0.1159999999999999
10,squared_error,30.0,20,10,NoneValue,0.0,0.072
10,squared_error,30.0,20,10,NoneValue,0.1,0.07
10,squared_error,30.0,20,10,NoneValue,0.2,0.072
10,squared_error,30.0,20,10,NoneValue,0.3,0.068
10,squared_error,30.0,20,10,sqrt,0.0,0.132
10,squared_error,30.0,20,10,sqrt,0.1,0.13
10,squared_error,30.0,20,10,sqrt,0.2,0.12
10,squared_error,30.0,20,10,sqrt,0.3,0.1159999999999999
10,squared_error,30.0,20,10,log2,0.0,0.13
10,squared_error,30.0,20,10,log2,0.1,0.12
10,squared_error,30.0,20,10,log2,0.2,0.12
10,squared_error,30.0,20,10,log2,0.3,0.12
10,squared_error,30.0,20,20,NoneValue,0.0,0.154
10,squared_error,30.0,20,20,NoneValue,0.1,0.144
10,squared_error,30.0,20,20,NoneValue,0.2,0.154
10,squared_error,30.0,20,20,NoneValue,0.3,0.144
10,squared_error,30.0,20,20,sqrt,0.0,0.156
10,squared_error,30.0,20,20,sqrt,0.1,0.158
10,squared_error,30.0,20,20,sqrt,0.2,0.156
10,squared_error,30.0,20,20,sqrt,0.3,0.1639999999999999
10,squared_error,30.0,20,20,log2,0.0,0.17
10,squared_error,30.0,20,20,log2,0.1,0.154
10,squared_error,30.0,20,20,log2,0.2,0.156
10,squared_error,30.0,20,20,log2,0.3,0.166
10,squared_error,30.0,40,1,NoneValue,0.0,0.12
10,squared_error,30.0,40,1,NoneValue,0.1,0.128
10,squared_error,30.0,40,1,NoneValue,0.2,0.124
10,squared_error,30.0,40,1,NoneValue,0.3,0.134
10,squared_error,30.0,40,1,sqrt,0.0,0.148
10,squared_error,30.0,40,1,sqrt,0.1,0.15
10,squared_error,30.0,40,1,sqrt,0.2,0.15
10,squared_error,30.0,40,1,sqrt,0.3,0.15
10,squared_error,30.0,40,1,log2,0.0,0.148
10,squared_error,30.0,40,1,log2,0.1,0.132
10,squared_error,30.0,40,1,log2,0.2,0.146
10,squared_error,30.0,40,1,log2,0.3,0.146
10,squared_error,30.0,40,5,NoneValue,0.0,0.136
10,squared_error,30.0,40,5,NoneValue,0.1,0.13
10,squared_error,30.0,40,5,NoneValue,0.2,0.132
10,squared_error,30.0,40,5,NoneValue,0.3,0.126
10,squared_error,30.0,40,5,sqrt,0.0,0.142
10,squared_error,30.0,40,5,sqrt,0.1,0.14
10,squared_error,30.0,40,5,sqrt,0.2,0.146
10,squared_error,30.0,40,5,sqrt,0.3,0.136
10,squared_error,30.0,40,5,log2,0.0,0.146
10,squared_error,30.0,40,5,log2,0.1,0.15
10,squared_error,30.0,40,5,log2,0.2,0.152
10,squared_error,30.0,40,5,log2,0.3,0.15
10,squared_error,30.0,40,10,NoneValue,0.0,0.118
10,squared_error,30.0,40,10,NoneValue,0.1,0.128
10,squared_error,30.0,40,10,NoneValue,0.2,0.128
10,squared_error,30.0,40,10,NoneValue,0.3,0.13
10,squared_error,30.0,40,10,sqrt,0.0,0.154
10,squared_error,30.0,40,10,sqrt,0.1,0.148
10,squared_error,30.0,40,10,sqrt,0.2,0.14
10,squared_error,30.0,40,10,sqrt,0.3,0.15
10,squared_error,30.0,40,10,log2,0.0,0.144
10,squared_error,30.0,40,10,log2,0.1,0.148
10,squared_error,30.0,40,10,log2,0.2,0.158
10,squared_error,30.0,40,10,log2,0.3,0.146
10,squared_error,30.0,40,20,NoneValue,0.0,0.154
10,squared_error,30.0,40,20,NoneValue,0.1,0.146
10,squared_error,30.0,40,20,NoneValue,0.2,0.146
10,squared_error,30.0,40,20,NoneValue,0.3,0.16
10,squared_error,30.0,40,20,sqrt,0.0,0.166
10,squared_error,30.0,40,20,sqrt,0.1,0.158
10,squared_error,30.0,40,20,sqrt,0.2,0.156
10,squared_error,30.0,40,20,sqrt,0.3,0.176
10,squared_error,30.0,40,20,log2,0.0,0.164
10,squared_error,30.0,40,20,log2,0.1,0.154
10,squared_error,30.0,40,20,log2,0.2,0.152
10,squared_error,30.0,40,20,log2,0.3,0.16
10,squared_error,NoneValue,2,1,NoneValue,0.0,0.028
10,squared_error,NoneValue,2,1,NoneValue,0.1,0.03
10,squared_error,NoneValue,2,1,NoneValue,0.2,0.032
10,squared_error,NoneValue,2,1,NoneValue,0.3,0.028
10,squared_error,NoneValue,2,1,sqrt,0.0,0.06
10,squared_error,NoneValue,2,1,sqrt,0.1,0.062
10,squared_error,NoneValue,2,1,sqrt,0.2,0.0559999999999999
10,squared_error,NoneValue,2,1,sqrt,0.3,0.054
10,squared_error,NoneValue,2,1,log2,0.0,0.062
10,squared_error,NoneValue,2,1,log2,0.1,0.06
10,squared_error,NoneValue,2,1,log2,0.2,0.05
10,squared_error,NoneValue,2,1,log2,0.3,0.054
10,squared_error,NoneValue,2,5,NoneValue,0.0,0.0339999999999999
10,squared_error,NoneValue,2,5,NoneValue,0.1,0.032
10,squared_error,NoneValue,2,5,NoneValue,0.2,0.034
10,squared_error,NoneValue,2,5,NoneValue,0.3,0.034
10,squared_error,NoneValue,2,5,sqrt,0.0,0.086
10,squared_error,NoneValue,2,5,sqrt,0.1,0.09
10,squared_error,NoneValue,2,5,sqrt,0.2,0.092
10,squared_error,NoneValue,2,5,sqrt,0.3,0.088
10,squared_error,NoneValue,2,5,log2,0.0,0.086
10,squared_error,NoneValue,2,5,log2,0.1,0.098
10,squared_error,NoneValue,2,5,log2,0.2,0.088
10,squared_error,NoneValue,2,5,log2,0.3,0.09
10,squared_error,NoneValue,2,10,NoneValue,0.0,0.074
